Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:BIQ,"BuildingIQ, Inc (ASX:BIQ)",https://www.listcorp.com/asx/biq/buildingiq-inc,"	16889300",0.016,0.00,0,"Information Technology"
ASX:TMR,"Tempus Resources Limited (ASX:TMR)",https://www.listcorp.com/asx/tmr/tempus-resources-limited,"	16786600",0.17,0.00,0,Materials
ASX:KWR,"Kingwest Resources Limited (ASX:KWR)",https://www.listcorp.com/asx/kwr/kingwest-resources-limited,"	16768300",0.085,0.00,2.41,Materials
ASX:BGD,"Barton Gold Holdings Limited (ASX:BGD)",https://www.listcorp.com/asx/bgd/barton-gold-holdings-limited,"	16738800",0.21,0.01,7.69,Materials
ASX:SCU,"Stemcell United Limited (ASX:SCU)",https://www.listcorp.com/asx/scu/stemcell-united-limited,"	16693100",0.016,0.00,0,"Health Care"
ASX:HAW,"Hawthorn Resources (ASX:HAW)",https://www.listcorp.com/asx/haw/hawthorn-resources,"	16675800",0.05,0.00,0,Materials
ASX:AUK,"Aumake Limited (ASX:AUK)",https://www.listcorp.com/asx/auk/aumake-limited,"	16673200",0.031,0.00,0,"Consumer Discretionary"
ASX:AYM,"Australia United Mining Limited (ASX:AYM)",https://www.listcorp.com/asx/aym/australia-united-mining-limited,"	16583200",0.008,-0.00,-11.11,Materials
ASX:SPQ,"Superior Resources (ASX:SPQ)",https://www.listcorp.com/asx/spq/superior-resources,"	16576000",0.012,0.00,0,Materials
ASX:ECT,"Environmental Clean Technologies (ASX:ECT)",https://www.listcorp.com/asx/ect/environmental-clean-technologies,"	16563800",0.014,0.00,0,Industrials
ASX:HNR,"Hannans Ltd (ASX:HNR)",https://www.listcorp.com/asx/hnr/hannans-ltd,"	16519800",0.007,0.00,0,Materials
ASX:UCW,"UCW Limited (ASX:UCW)",https://www.listcorp.com/asx/ucw/ucw-limited,"	16452000",0.145,0.00,3.57,"Consumer Discretionary"
ASX:AYI,"A1 Investments & Resources (ASX:AYI)",https://www.listcorp.com/asx/ayi/a1-investments-and-resources,"	16421900",0.001,0.00,0,Financials
ASX:AL8,"Alderan Resources Limited (ASX:AL8)",https://www.listcorp.com/asx/al8/alderan-resources-limited,"	16386800",0.055,0.00,0,Materials
ASX:AGR,"Aguia Resources (ASX:AGR)",https://www.listcorp.com/asx/agr/aguia-resources,"	16350900",0.048,-0.00,-2.04,Materials
ASX:AUH,"AustChina Holdings Limited (ASX:AUH)",https://www.listcorp.com/asx/auh/austchina-holdings-limited,"	16341200",0.009,-0.00,-10,Energy
ASX:ABV,"Advanced Braking Technology (ASX:ABV)",https://www.listcorp.com/asx/abv/advanced-braking-technology,"	16303400",0.043,0.00,0,"Consumer Discretionary"
ASX:SNG,"Siren Gold Limited (ASX:SNG)",https://www.listcorp.com/asx/sng/siren-gold-limited,"	16286200",0.25,0.00,0,Materials
ASX:RIM,"Rimfire Pacific Mining NL (ASX:RIM)",https://www.listcorp.com/asx/rim/rimfire-pacific,"	16256200",0.009,0.00,0,Materials
ASX:FZR,"Fitzroy River Corporation (ASX:FZR)",https://www.listcorp.com/asx/fzr/fitzroy-river-corporation,"	16193100",0.15,0.00,0,Energy
ASX:PSL,"Paterson Resources Ltd (ASX:PSL)",https://www.listcorp.com/asx/psl/paterson-resources-ltd,"	16168900",0.047,-0.00,-7.84,Materials
ASX:KYK,"Kyckr Limited (ASX:KYK)",https://www.listcorp.com/asx/kyk/kyckr-limited,"	16160900",0.046,-0.00,-2.13,"Information Technology"
ASX:CAG,"Cape Range Limited (ASX:CAG)",https://www.listcorp.com/asx/cag/cape-range-limited,"	16134400",0.17,0.00,0,"Information Technology"
ASX:GTR,"GTI Resources (ASX:GTR)",https://www.listcorp.com/asx/gtr/gti-resources,"	16113000",0.024,-0.00,-4,Materials
ASX:MOB,"Mobilicom Limited (ASX:MOB)",https://www.listcorp.com/asx/mob/mobilicom-limited,"	16096800",0.05,0.00,0,"Information Technology"
ASX:ELE,"Elmore Ltd (ASX:ELE)",https://www.listcorp.com/asx/ele/elmore-ltd,"	16034700",0.023,-0.00,-4.17,Materials
ASX:LSH,"Lifespot Health Limited (ASX:LSH)",https://www.listcorp.com/asx/lsh/lifespot-health-limited,"	16004400",0.095,0.00,0,"Health Care"
ASX:OAU,"Ora Gold Limited (ASX:OAU)",https://www.listcorp.com/asx/oau/ora-gold-limited,"	15999800",0.019,0.00,0,Materials
ASX:RFR,"Rafaella Resources Ltd (ASX:RFR)",https://www.listcorp.com/asx/rfr/rafaella-resources-ltd,"	15981300",0.093,0.00,0,Materials
ASX:HCT,"Holista Colltech (ASX:HCT)",https://www.listcorp.com/asx/hct/holista-colltech,"	15970200",0.055,-0.00,-5.17,"Consumer Staples"
ASX:MDI,"Middle Island Resources (ASX:MDI)",https://www.listcorp.com/asx/mdi/middle-island-resources,"	15914400",0.13,0.00,0,Materials
